# threads seconds successes-per-second retries-per-second fails-per-second

#### Intel Core i7 4770 @3.5GHz

### Hadlock algorithm, FRONTIER-FIFO implementation
# full optimization flags (speed 3)...
 1  1.944  774.7  0.0  3.1
 2  1.944  774.7  0.0  3.1
 3  1.944  774.7  0.0  3.1
 4  1.944  774.7  0.0  3.1
 5  1.944  774.7  0.0  3.1
 6  1.944  774.7  0.0  3.1
 7  1.944  774.7  0.0  3.1
 8  1.944  774.7  0.0  3.1
10  1.944  774.7  0.0  3.1
20  1.944  774.7  0.0  3.1
30  1.944  774.7  0.0  3.1
40  1.944  774.7  0.0  3.1
50  1.944  774.7  0.0  3.1
60  1.944  774.7  0.0  3.1
80  1.944  774.7  0.0  3.1
100 1.944  774.7  0.0  3.1







#### Intel Core i5 750 @4GHz

### Hadlock algorithm, FRONTIER-FIFO implementation
# full optimization flags (speed 3)...
# 1  3.880  388.1  0.0  1.5
# 2  3.880  388.1  0.0  1.5
# 3  3.880  388.1  0.0  1.5
# 4  3.880  388.1  0.0  1.5
# 5  3.880  388.1  0.0  1.5
# 6  3.880  388.1  0.0  1.5
# 8  3.880  388.1  0.0  1.5
#10  3.880  388.1  0.0  1.5
#20  3.880  388.1  0.0  1.5 388.1
#30  3.880  388.1  0.0  1.5
#50  3.880  388.1  0.0  1.5


### Lee algorithm, FRONTIER-FIFO implementation
# full optimization flags (speed 3)...
# 1  11.842  127.2   0.0 
# 2  11.842  127.2   0.0 
# 3  11.842  127.2   0.0 
# 4  11.842  127.2   0.0 
# 5  11.842  127.2   0.0 
# 6  11.842  127.2   0.0 
# 8  11.842  127.2   0.0 
#10  11.842  127.2   0.0 
#20  11.842  127.2   0.0  127.2
#30  11.842  127.2   0.0 
#50  11.842  127.2   0.0 
